run_duration_sec,writers,batch_size,rows_written,ingestion_throughput_per_sec,readers,queries_executed,avg_agg_query_time,p95_agg_query_time,max_agg_query_time
31.4559,1,1000,992000,31536.2613,10,317,974.0118,2696.8679,3208.1021
30.5656,2,1000,630000,20611.4267,10,288,1050.5229,3004.621,3735.8492
30.7797,3,1000,1016000,33008.7629,10,290,1049.3368,2789.8581,3002.6828
31.1663,4,1000,795000,25508.3053,10,261,1177.8834,2801.2157,3444.4618
31.1715,5,1000,799000,25632.4054,10,251,1225.2381,2892.38,3885.2629
30.9213,1,2000,1314000,42494.9619,10,333,919.4725,2805.4678,3690.2045
30.7228,2,2000,1108000,36064.475,10,276,1101.818,3102.5343,3514.2005
30.8241,3,2000,1138000,36919.1725,10,275,1102.862,2837.7467,3091.8577
31.9657,4,2000,1766000,55246.798,10,329,952.9982,2903.0015,3615.4938
31.0227,5,2000,1712000,55185.3297,10,273,1118.9282,2795.3625,3404.4833
30.3425,1,3000,852000,28079.4508,10,271,1111.8081,3005.1348,3486.3071
31.8257,2,3000,1410000,44303.7933,10,328,955.6078,2709.7364,3197.822
30.9565,3,3000,1299000,41962.1211,10,230,1329.7014,2885.5265,3191.7874
31.4419,4,3000,1938000,61637.4938,10,271,1135.3426,2822.9548,3195.0323
30.9793,5,3000,1968000,63526.2378,10,230,1326.6527,2919.0771,3201.1962
31.0228,1,5000,1325000,42710.5511,10,292,1049.7208,2945.3839,3211.2196
30.9397,2,5000,1510000,48804.6266,10,222,1368.4645,3217.3034,3796.3495
30.5312,3,5000,2090000,68454.6305,10,227,1332.1453,2882.8689,3620.2608
31.3038,4,5000,2675000,85452.7577,10,234,1310.8456,2946.533,3302.785
31.1396,5,5000,3680000,118177.5518,10,370,823.1429,2284.2835,3218.3414
31.563,1,8000,1912000,60577.3402,10,280,1115.8169,2900.1206,3601.9141
31.5645,2,8000,2632000,83384.7967,10,274,1126.5296,3047.8408,3623.7888
31.3473,3,8000,3496000,111524.8543,10,296,1035.1312,2989.056,3112.128
31.3678,4,8000,4016000,128029.3221,10,298,1035.4618,2805.9464,3236.7333
31.6264,5,8000,4504000,142412.5575,10,241,1286.0821,3092.3126,3585.7368
31.3852,1,10000,1910000,60856.6911,10,257,1202.131,2991.2101,3199.7213
31.1658,2,10000,3200000,102676.8061,10,246,1247.6238,3084.8661,3583.2601
30.6549,3,10000,3940000,128527.508,10,282,1074.122,3072.8428,3686.2521
31.1157,4,10000,4530000,145585.658,10,261,1166.6462,3160.1096,3937.3225
30.6767,5,10000,4650000,151580.9264,10,243,1247.2742,3012.8643,3300.5251
31.2878,1,15000,2685000,85816.1377,10,263,1167.6007,3099.0957,3604.5348
31.0868,2,15000,4005000,128832.9601,10,229,1334.0075,3400.9485,3911.5585
32.9607,3,15000,4665000,141532.3155,10,223,1440.2043,4192.9497,4582.095
30.9529,4,15000,5070000,163797.383,10,248,1229.247,3289.8991,3689.1888
32.4058,5,15000,5475000,168951.2171,10,257,1240.823,3204.1422,3829.6735
31.3579,1,20000,3460000,110339.1642,10,267,1153.1635,3213.3866,3494.264
30.7679,2,20000,4680000,152106.6644,10,274,1108.1361,3051.5485,3692.0155
31.0839,3,20000,5160000,166002.3104,10,246,1247.3207,3179.7276,3588.9134
31.4163,4,20000,5420000,172521.9787,10,205,1506.4362,3494.7271,4062.0061
31.3539,5,20000,5760000,183709.0319,10,193,1589.8041,3590.2492,3883.0485
30.7598,1,30000,4320000,140442.9089,10,321,944.377,2890.3661,3684.6292
30.9884,2,30000,5370000,173290.7923,10,288,1061.83,2877.3815,3304.8321
30.5363,3,30000,5610000,183715.7219,10,307,984.6244,3579.026,4156.4169
31.311,4,30000,5820000,185877.1244,10,364,841.2649,2180.4985,2637.2795
31.6952,5,30000,5610000,176998.4358,10,273,1128.7582,3134.1367,3948.1768
30.6158,1,40000,4240000,138490.7178,10,244,1244.0042,3109.3194,3598.2215
31.0365,2,40000,5680000,183010.0385,10,301,1014.0072,3027.7733,3425.8785
30.8415,3,40000,5800000,188058.3503,10,219,1386.4884,3299.4663,3705.4817
31.2258,4,40000,6200000,198553.9457,10,213,1439.3202,3426.4467,3989.2698
32.354,5,40000,6120000,189157.3231,10,259,1213.3072,3196.4013,4488.5282
31.6893,1,50000,5100000,160937.4454,10,322,963.1657,2612.7578,3588.6724
30.5461,2,50000,5350000,175144.9768,10,232,1305.201,3133.6003,3707.5003
30.8292,3,50000,6150000,199486.2687,10,208,1463.058,3367.6276,3876.923
30.9895,4,50000,6250000,201681.1098,10,246,1241.0479,3055.8945,3429.3724
31.1357,5,50000,6050000,194310.6941,10,320,954.2534,2600.3977,3059.3633
31.2653,1,75000,4575000,146328.2599,10,203,1513.1128,3494.8558,4384.3802
30.5066,2,75000,5700000,186844.9917,10,319,949.4346,3157.469,3610.485
31.3317,3,75000,6225000,198680.2804,10,240,1281.6811,3050.9576,3409.243
32.3193,4,75000,6225000,192609.0986,10,230,1367.6007,3256.953,4265.8462
30.771,5,75000,6150000,199863.4195,10,292,1036.8874,2668.6756,3852.274
31.7246,1,100000,4700000,148150.0822,10,257,1208.2558,3117.4372,3603.0352
31.0864,2,100000,5900000,189793.7962,10,333,918.6246,2310.3865,2994.7839
30.8163,3,100000,6100000,197947.2882,10,292,1042.8831,2653.0279,3873.4609
30.9606,4,100000,6100000,197024.5582,10,313,969.7155,2747.0571,3670.1679
32.1191,5,100000,4000000,124536.4653,10,244,1248.3169,3045.2002,3431.9298
